LEAID,STATE,NAME,GRAD_RATE_2015_16,ALL_RATE_1516,
100005,ALABAMA,Albertville City,296,92,
100006,ALABAMA,Marshall County,434,88,
100007,ALABAMA,Hoover City,1127,93,
100008,ALABAMA,Madison City,855,97,
100011,ALABAMA,Leeds City,123,90-94,
100012,ALABAMA,Boaz City,151,80-84,
100013,ALABAMA,Trussville City,381,96,
100030,ALABAMA,Alexander City,269,90-94,
100060,ALABAMA,Andalusia City,99,90-94,
100090,ALABAMA,Anniston City,154,75-79,
100100,ALABAMA,Arab City,199,90-94,
100120,ALABAMA,Athens City,287,90,
100180,ALABAMA,Attalla City,207,83,
100185,ALABAMA,Saraland City,243,92,
100188,ALABAMA,Chickasaw City,53,70-79,
100189,ALABAMA,Satsuma City,103,85-89,
100190,ALABAMA,Alabaster City,435,97,
100194,ALABAMA,Pelham City,220,95,
100210,ALABAMA,Auburn City,574,88,
100240,ALABAMA,Autauga County,742,86,
100270,ALABAMA,Baldwin County,2383,84,
100300,ALABAMA,Barbour County,66,85-89,
100330,ALABAMA,Bessemer City,333,79,
100360,ALABAMA,Bibb County,250,85,
100390,ALABAMA,Birmingham City,1910,77,
100420,ALABAMA,Blount County,604,92,
100450,ALABAMA,Brewton City,87,90-94,
100480,ALABAMA,Bullock County,125,85-89,
100510,ALABAMA,Butler County,263,78,
100540,ALABAMA,Calhoun County,744,90,
100600,ALABAMA,Chambers County,275,80,
100630,ALABAMA,Cherokee County,307,93,
100660,ALABAMA,Chilton County,572,84,
100690,ALABAMA,Choctaw County,134,75-79,
100720,ALABAMA,Clarke County,259,85,
100750,ALABAMA,Clay County,174,85-89,
100780,ALABAMA,Cleburne County,168,GE95,
100810,ALABAMA,Coffee County,159,90-94,
100840,ALABAMA,Colbert County,211,82,
100870,ALABAMA,Conecuh County,96,75-79,
100900,ALABAMA,Coosa County,94,80-84,
100930,ALABAMA,Covington County,228,93,
100960,ALABAMA,Crenshaw County,161,90-94,
100990,ALABAMA,Cullman City,230,93,
101020,ALABAMA,Cullman County,689,85,
101050,ALABAMA,Dale County,194,85-89,
101080,ALABAMA,Daleville City,83,85-89,
101110,ALABAMA,Dallas County,332,89,
101140,ALABAMA,Dekalb County,642,88,
101170,ALABAMA,Decatur City,652,87,
101200,ALABAMA,Demopolis City,169,90-94,
101230,ALABAMA,Dothan City,647,89,
101260,ALABAMA,Elba City,68,GE95,
101290,ALABAMA,Elmore County,792,86,
101320,ALABAMA,Enterprise City,524,95,
101350,ALABAMA,Escambia County,318,82,
101380,ALABAMA,Etowah County,651,91,
101410,ALABAMA,Eufaula City,205,84,
101440,ALABAMA,Fairfield City,167,80-84,
101470,ALABAMA,Fayette County,177,85-89,
101530,ALABAMA,Florence City,356,93,
101560,ALABAMA,Fort Payne City,205,98,
101590,ALABAMA,Franklin County,225,88,
101620,ALABAMA,Gadsden City,427,79,
101640,ALABAMA,Geneva City,77,90-94,
101660,ALABAMA,Geneva County,233,88,
101680,ALABAMA,Greene County,99,80-84,
101690,ALABAMA,Guntersville City,134,90-94,
101710,ALABAMA,Hale County,234,88,
101720,ALABAMA,Haleyville City,127,85-89,
101730,ALABAMA,Hartselle City,209,93,
101740,ALABAMA,Henry County,216,93,
101760,ALABAMA,Homewood City,230,93,
101770,ALABAMA,Houston County,467,90,
101800,ALABAMA,Huntsville City,1730,88,
101830,ALABAMA,Jackson County,453,88,
101860,ALABAMA,Jacksonville City,111,90-94,
101890,ALABAMA,Jasper City,210,91,
101920,ALABAMA,Jefferson County,2987,88,
101950,ALABAMA,Lamar County,163,80-84,
101980,ALABAMA,Lanett City,61,70-74,
102010,ALABAMA,Lauderdale County,660,92,
102040,ALABAMA,Lawrence County,327,87,
102070,ALABAMA,Lee County,805,83,
102100,ALABAMA,Limestone County,682,91,
102130,ALABAMA,Linden City,44,80-89,
102160,ALABAMA,Lowndes County,131,85-89,
102190,ALABAMA,Macon County,210,86,
102220,ALABAMA,Madison County,1571,90,
102250,ALABAMA,Marengo County,76,90-94,
102310,ALABAMA,Marion County,253,85,
102350,ALABAMA,Midfield City,102,85-89,
102370,ALABAMA,Mobile County,4520,81,
102400,ALABAMA,Monroe County,316,86,
102430,ALABAMA,Montgomery County,2215,78,
102480,ALABAMA,Morgan County,624,91,
102490,ALABAMA,Mountain Brook City,334,98,
102520,ALABAMA,Muscle Shoals City,214,97,
102550,ALABAMA,Oneonta City,95,GE95,
102580,ALABAMA,Opelika City,303,89,
102610,ALABAMA,Opp City,75,90-94,
102635,ALABAMA,Oxford City,276,96,
102640,ALABAMA,Ozark City,193,85-89,
102650,ALABAMA,Pell City,290,87,
102670,ALABAMA,Perry County,121,90-94,
102700,ALABAMA,Phenix City,444,85,
102730,ALABAMA,Pickens County,201,91,
102760,ALABAMA,Piedmont City,75,GE95,
102790,ALABAMA,Pike County,189,80-84,
102820,ALABAMA,Randolph County,182,85-89,
102850,ALABAMA,Roanoke City,101,GE95,
102880,ALABAMA,Russell County,276,74,
102910,ALABAMA,Russellville City,178,90-94,
102940,ALABAMA,Scottsboro City,184,85-89,
102970,ALABAMA,Selma City,263,82,
103000,ALABAMA,Sheffield City,83,80-84,
103030,ALABAMA,Shelby County,1466,93,
103062,ALABAMA,St Clair County,650,87,
103090,ALABAMA,Sumter County,137,75-79,
103120,ALABAMA,Sylacauga City,183,90-94,
103150,ALABAMA,Talladega City,142,90-94,
103180,ALABAMA,Talladega County,544,92,
103210,ALABAMA,Tallapoosa County,249,88,
103240,ALABAMA,Tallassee City,132,85-89,
103270,ALABAMA,Tarrant City,73,80-84,
103300,ALABAMA,Thomasville City,132,GE95,
103330,ALABAMA,Troy City,153,90-94,
103360,ALABAMA,Tuscaloosa City,751,87,
103390,ALABAMA,Tuscaloosa County,1300,84,
103420,ALABAMA,Tuscumbia City,130,75-79,
103430,ALABAMA,Vestavia Hills City,468,95,
103450,ALABAMA,Walker County,621,90,
103480,ALABAMA,Washington County,247,83,
103510,ALABAMA,Wilcox County,112,85-89,
103540,ALABAMA,Winfield City,83,GE95,
103580,ALABAMA,Winston County,206,84,
200001,ALASKA,Lower Kuskokwim School District,278,52,
200003,ALASKA,Lower Yukon School District,138,55-59,
200004,ALASKA,Yupiit School District,36,50-59,
200005,ALASKA,Kashunamiut School District,20,60-79,
200006,ALASKA,Mount Edgecumbe High School Agency,85,GE95,
200007,ALASKA,Aleutians East Borough School District,14,GE50,
200010,ALASKA,Aleutian Region School District,2,PS,
200020,ALASKA,Bering Strait School District,111,75-79,
200030,ALASKA,Bristol Bay Borough School District,14,GE50,
200050,ALASKA,Alaska Gateway School District,30,40-59,
200060,ALASKA,Cordova City School District,39,80-89,
200070,ALASKA,Copper River School District,23,GE80,
200090,ALASKA,Craig City School District,41,50-59,
200100,ALASKA,Delta-Greely School District,57,80-89,
200120,ALASKA,Dillingham City School District,27,40-59,
200130,ALASKA,Galena City School District,360,77,
200150,ALASKA,Ketchikan Gateway Borough School District,187,75-79,
200180,ALASKA,Anchorage School District,3432,80,
200210,ALASKA,Juneau Borough School District,376,84,
200240,ALASKA,Sitka School District,101,70-74,
200270,ALASKA,Haines Borough School District,25,GE80,
200300,ALASKA,Hoonah City School District,6,GE50,
200330,ALASKA,Hydaburg City School District,7,GE50,
200360,ALASKA,Kake City School District,11,GE50,
200390,ALASKA,Kenai Peninsula Borough School District,689,83,
200450,ALASKA,Klawock City School District,6,GE50,
200480,ALASKA,Kodiak Island Borough School District,191,90-94,
200485,ALASKA,Lake and Peninsula Borough School District,29,GE80,
200510,ALASKA,Matanuska-Susitna Borough School District,1327,79,
200520,ALASKA,Iditarod Area School District,16,60-79,
200525,ALASKA,Annette Island School District,21,GE80,
200540,ALASKA,Nenana City School District,169,30-34,
200570,ALASKA,Nome Public Schools,48,70-79,
200600,ALASKA,Fairbanks North Star Borough School District,949,74,
200610,ALASKA,North Slope Borough School District,113,55-59,
200625,ALASKA,Northwest Arctic Borough School District,133,70-74,
200630,ALASKA,Pelican City School District,2,PS,
200660,ALASKA,Petersburg Borough School District,31,GE90,
200670,ALASKA,Pribilof School District,3,PS,
200680,ALASKA,Saint Mary's School District,13,GE50,
200690,ALASKA,Skagway School District,3,PS,
200700,ALASKA,Southeast Island School District,19,GE80,
200710,ALASKA,Southwest Region School District,37,40-49,
200715,ALASKA,Tanana City School District,2,PS,
200720,ALASKA,Unalaska City School District,29,GE80,
200730,ALASKA,Chatham School District,9,GE50,
200760,ALASKA,Kuspuk School District,22,60-79,
200770,ALASKA,Denali Borough School District,43,40-49,
200775,ALASKA,Yukon Flats School District,17,40-59,
200780,ALASKA,Valdez City School District,46,80-89,
200800,ALASKA,Chugach School District,24,GE80,
200810,ALASKA,Wrangell Public School District,26,60-79,
200840,ALASKA,Yakutat School District,4,PS,
200862,ALASKA,Yukon-Koyukuk School District,196,45-49,
400001,ARIZONA,Cave Creek Unified District,415,93,
400003,ARIZONA,Chino Valley Unified District,195,90-94,
400016,ARIZONA,Center for Academic Success  Inc.,46,80-89,
400019,ARIZONA,Flagstaff Arts And Leadership Academy,60,80-89,
400021,ARIZONA,Colorado City Unified District,31,70-79,
400022,ARIZONA,Vernon Elementary District,10,GE50,
400023,ARIZONA,Pinon Unified District,105,60-64,
400026,ARIZONA,Heber-Overgaard Unified District,28,GE80,
400036,ARIZONA,Foothills Academy,35,80-89,
400041,ARIZONA,Maricopa County Community College District dba Gateway Early,48,GE90,
400043,ARIZONA,New School For The Arts,38,GE90,
400047,ARIZONA,Salt River Pima-Maricopa  Community Schools,72,45-49,
400052,ARIZONA,Espiritu Community Development Corp. 1,30,GE80,
400053,ARIZONA,Heritage Academy  Inc.,107,GE95,
400056,ARIZONA,Arizona School For The Arts,79,90-94,
400057,ARIZONA,Arizona Call-a-Teen Youth Resources  Inc.,52,20-29,
400061,ARIZONA,Intelli-School  Inc.,51,44154,
400065,ARIZONA,Benjamin Franklin Charter School,35,GE90,
400067,ARIZONA,Victory High School  Inc.,4,PS,
400070,ARIZONA,Tempe Preparatory Academy,50,GE90,
400074,ARIZONA,Kingman Academy Of Learning,83,90-94,
400077,ARIZONA,Career Development  Inc.,40,40-49,
400078,ARIZONA,Edge School  Inc.  The,110,40-44,
400079,ARIZONA,Tucson Youth Development/ACE Charter High School,45,30-39,
400081,ARIZONA,Presidio School,11,GE50,
400082,ARIZONA,Colorado River Union High School District,479,87,
400083,ARIZONA,Portable Practical Educational Preparation Inc. (PPEP In 1,317,47,
400094,ARIZONA,Az-Tec High School,41,30-39,
400095,ARIZONA,Yuma Private Industry Council  Inc.,62,30-34,
400097,ARIZONA,Northland Preparatory Academy,72,GE95,
400099,ARIZONA,Liberty High School,20,60-79,
400103,ARIZONA,Ombudsman Educational Services Ltd. a subsidiary of Educ 1,180,20-24,
400104,ARIZONA,Global Renaissance Academy of Distinguished Education,13,GE50,
400106,ARIZONA,Arizona Agribusiness & Equine Center Inc. 1,81,80-84,
400107,ARIZONA,International Commerce Secondary Schools  Inc.,342,35,
400108,ARIZONA,Humanities and Sciences Academy of the United States  Inc.,185,40-44,
400112,ARIZONA,American Leadership Academy  Inc.,170,85-89,
400121,ARIZONA,Accelerated Learning Center  Inc.,70,70-74,
400124,ARIZONA,Genesis Program  Inc.,57,50-59,
400125,ARIZONA,Luz Academy of Tucson  Inc,17,60-79,
400129,ARIZONA,Accelerated Elementary and Secondary Schools,5,PS,
400130,ARIZONA,American Heritage Academy,17,GE80,
400133,ARIZONA,Employ-Ability Unlimited  Inc.,16,60-79,
400144,ARIZONA,Florence Crittenton Services of Arizona  Inc.,19,LE20,
400147,ARIZONA,Ha:san Educational Services,28,40-59,
400149,ARIZONA,Kaizen Education Foundation dba El Dorado High School,90,50-54,
400153,ARIZONA,Phoenix School of Academic Excellence The,19,GE80,
400154,ARIZONA,Shonto Governing Board of Education  Inc.,24,60-79,
400157,ARIZONA,Edkey  Inc. - Sequoia Choice Schools,235,30,
400159,ARIZONA,Tucson Preparatory School,48,20-29,
400160,ARIZONA,Vision Charter School  Inc.,5,PS,
400163,ARIZONA,Coconino County Accommodation School District,91,60-64,
400192,ARIZONA,Sonoran Desert School,10,GE50,
400201,ARIZONA,Pima County,46,30-39,
400202,ARIZONA,Academy of Tucson  Inc.,24,GE80,
400204,ARIZONA,Mountain Rose Academy  Inc.,158,45-49,
400209,ARIZONA,Park View School  Inc.,32,GE90,
400211,ARIZONA,Mary Ellen Halvorson Educational Foundation. dba: Tri-City P,54,GE90,
400212,ARIZONA,Benson Unified School District,104,90-94,
400219,ARIZONA,Career Success Schools,453,28,
400223,ARIZONA,Daisy Education Corporation dba Sonoran Science Academy,58,44154,
400225,ARIZONA,Horizon Community Learning Center Inc. 1,95,GE95,
400231,ARIZONA,James Madison Preparatory School,28,GE80,
400235,ARIZONA,Excalibur Charter Schools  Inc.,2,PS,
400238,ARIZONA,Metropolitan Arts Institute  Inc.,44,GE90,
400241,ARIZONA,Paragon Management  Inc.,84,LE5,
400243,ARIZONA,Skyline Schools  Inc.,46,GE90,
400244,ARIZONA,Edkey  Inc. - Sequoia Charter School,55,80-89,
400246,ARIZONA,Edkey  Inc. - Sequoia Village School,1,PS,
400248,ARIZONA,Telesis Center for Learning  Inc.,23,GE80,
400254,ARIZONA,Southern Arizona Community Academy  Inc.,45,40-49,
400259,ARIZONA,Southgate Academy  Inc.,27,GE80,
400261,ARIZONA,Eastpointe High School  Inc.,309,14,
400266,ARIZONA,PACE Preparatory Academy  Inc.,21,60-79,
400267,ARIZONA,Kestrel Schools  Inc.,12,LT50,
400273,ARIZONA,GAR  LLC dba Student Choice High School,163,40-44,
400274,ARIZONA,AIBT Non-Profit Charter High School - Phoenix,94,50-54,
400276,ARIZONA,Academy with Community Partners  Inc,53,70-79,
400278,ARIZONA,Deer Valley Charter Schools  Inc.,26,GE80,
400280,ARIZONA,Mohave Accelerated Learning Center,54,GE90,
400281,ARIZONA,Masada Charter School  Inc.,36,LE10,
400282,ARIZONA,Harvest Power Community Development Group  Inc.,49,GE90,
400284,ARIZONA,Omega Alpha Academy,12,LT50,
400288,ARIZONA,Premier Charter High School,78,90-94,
400290,ARIZONA,Pan-American Elementary Charter,14,GE50,
400295,ARIZONA,Kingman Unified School District,474,77,
400303,ARIZONA,North Star Charter School  Inc.,97,43991,
400311,ARIZONA,E-Institute Charter Schools  Inc.,376,58,
400315,ARIZONA,Yavapai Accommodation School District,31,30-39,
400318,ARIZONA,Aprender Tucson,1,PS,
400321,ARIZONA,Pinnacle Education-WMCB  Inc.,12,GE50,
400322,ARIZONA,Desert Rose Academy Inc.,90,25-29,
400326,ARIZONA,Success School,32,GE90,
400327,ARIZONA,Pointe Educational Services,126,GE95,
400329,ARIZONA,American Virtual Academy,2148,24,
400330,ARIZONA,Compass High School  Inc.,121,50-54,
400332,ARIZONA,James Sandoval Preparatory High School,24,40-59,
400344,ARIZONA,Pathways KM Charter Schools  Inc,1,PS,
400352,ARIZONA,American Charter Schools Foundation d.b.a. Estrella High Sch,117,35-39,
400353,ARIZONA,American Charter Schools Foundation d.b.a. Peoria Accelerate,217,33,
400354,ARIZONA,American Charter Schools Foundation d.b.a. Sun Valley High S,149,55-59,
400355,ARIZONA,American Charter Schools Foundation d.b.a. West Phoenix High,163,40-44,
400356,ARIZONA,Nosotros  Inc,46,70-79,
400357,ARIZONA,American Charter Schools Foundation d.b.a. Apache Trail High,88,40-44,
400363,ARIZONA,SC Jensen Corporation  Inc. dba Intelli-School,34,20-29,
400364,ARIZONA,PAS Charter  Inc.  dba Intelli-School,131,20-24,
400366,ARIZONA,Valley of the Sun Waldorf Education Association  dba Desert,14,GE50,
400367,ARIZONA,Pima Prevention Partnership dba Pima Partnership School  The,86,60-64,
400373,ARIZONA,Tucson International Academy  Inc.,26,GE80,
400381,ARIZONA,Carpe Diem Collegiate High School,31,44154,
400382,ARIZONA,CPLC Community Schools dba Toltecalli High School,34,70-79,
400383,ARIZONA,Life Skills Center of Arizona  Inc.,114,44118,
400384,ARIZONA,American Charter Schools Foundation d.b.a. Desert Hills High,93,30-34,
400385,ARIZONA,American Charter Schools Foundation d.b.a. Crestview College,80,30-34,
400386,ARIZONA,Kaizen Education Foundation dba Summit High School,165,30-34,
400387,ARIZONA,Kaizen Education Foundation dba Tempe Accelerated High Schoo,28,LE20,
400388,ARIZONA,Kaizen Education Foundation dba Skyview High School,73,35-39,
400389,ARIZONA,Kaizen Education Foundation dba Maya High School,132,25-29,
400391,ARIZONA,Vista Charter School,13,LT50,
400394,ARIZONA,Avondale Learning dba Precision Academy,19,21-39,
400395,ARIZONA,LEAD Charter Schools,64,85-89,
400398,ARIZONA,Founding Fathers Academies  Inc,16,21-39,
400401,ARIZONA,New World Educational Center,2,PS,
400402,ARIZONA,Cholla Academy,43,70-79,
400405,ARIZONA,Cornerstone Charter School Inc,50,GE90,
400407,ARIZONA,CITY Center for Collaborative Learning,44,GE90,
400414,ARIZONA,Academy of Building Industries  Inc.,36,70-79,
400416,ARIZONA,StarShine Academy,35,LE10,
400417,ARIZONA,Arizona Agribusiness & Equine Center Inc. 2,83,GE95,
400419,ARIZONA,Gila County Regional School District,21,21-39,
400420,ARIZONA,Pillar Charter School,12,GE50,
400423,ARIZONA,Legacy Education Group,62,40-44,
400426,ARIZONA,Arizona Agribusiness & Equine Center Inc. 3,34,GE90,
400427,ARIZONA,Arizona Connections Academy Charter School  Inc.,168,35-39,
400429,ARIZONA,Country Gardens Charter Schools,11,GE50,
400432,ARIZONA,Portable Practical Educational Preparation Inc. (PPEP In 2,491,30,
400440,ARIZONA,Chandler Preparatory Academy,81,GE95,
400444,ARIZONA,Prescott Valley Charter School,11,GE50,
400447,ARIZONA,American Charter Schools Foundation d.b.a. South Ridge High,96,GE95,
400450,ARIZONA,Agua Fria Union High School District,1848,89,
400463,ARIZONA,Arizona State School for the Deaf and Blind,54,50-59,
400480,ARIZONA,Aguila Elementary District,11,GE50,
400520,ARIZONA,Ajo Unified District,28,GE80,
400608,ARIZONA,BASIS School Inc. 2,85,GE95,
400610,ARIZONA,Desert Heights Charter Schools,29,GE80,
400614,ARIZONA,MCCCD on behalf of Phoenix College Preparatory Academy,12,LT50,
400618,ARIZONA,American Charter Schools Foundation d.b.a. South Pointe High,159,45-49,
400619,ARIZONA,American Charter Schools Foundation d.b.a. Alta Vista High S,95,80-84,
400621,ARIZONA,Pinnacle Education-Tempe  Inc.,229,24,
400625,ARIZONA,Pinnacle Education-Kino  Inc.,15,GE50,
400626,ARIZONA,Pinnacle Education-Casa Grande  Inc.,12,LT50,
400630,ARIZONA,Alpine Elementary District,5,PS,
400632,ARIZONA,Cochise Community Development Corporation,35,80-89,
400633,ARIZONA,Canyon Rose Academy  Inc.,139,20-24,
400636,ARIZONA,Blueprint Education,185,15-19,
400638,ARIZONA,Edkey  Inc. - Pathfinder Academy,1,PS,
400640,ARIZONA,Edkey  Inc. - Sequoia School for the Deaf and Hard of Hearin,5,PS,
400650,ARIZONA,Integrity Education Incorporated,9,GE50,
400653,ARIZONA,Edkey  Inc. - Arizona Conservatory for Arts and Academics,51,GE90,
400655,ARIZONA,Veritas Preparatory Academy,58,GE90,
400656,ARIZONA,RSD Charter School  Inc.,52,40-49,
400680,ARIZONA,Amphitheater Unified District,1121,87,
400720,ARIZONA,Antelope Union High School District,57,80-89,
400746,ARIZONA,Eduprize Schools  LLC,1,PS,
400747,ARIZONA,Scottsdale Preparatory Academy,69,GE95,
400757,ARIZONA,Arete Preparatory Academy,45,GE90,
400760,ARIZONA,Glendale Preparatory Academy,44,GE90,
400769,ARIZONA,Imagine Prep Coolidge  Inc.,31,GE90,
400770,ARIZONA,Imagine Prep Surprise  Inc.,54,GE90,
400771,ARIZONA,Blue Adobe Project,14,GE50,
400776,ARIZONA,Daisy Education Corporation dba Sonoran Science Academy - Ph,20,GE80,
400778,ARIZONA,Daisy Education Corporation dba Paragon Science Academy,21,LE20,
400783,ARIZONA,Imagine Prep Superstition  Inc.,24,GE80,
400785,ARIZONA,AZ Compass Schools  Inc.,9,GE50,
400788,ARIZONA,Phoenix Collegiate Academy  Inc.,33,GE90,
400790,ARIZONA,Apache Junction Unified District,295,81,
400796,ARIZONA,CAFA  Inc. dba Learning Foundation and Performing Arts Alta,3,PS,
400800,ARIZONA,The Odyssey Preparatory Academy  Inc.,73,90-94,
400801,ARIZONA,Skyline Gila River Schools  LLC,5,PS,
400803,ARIZONA,CAFA  Inc. dba Learning Foundation and Performing Arts Gilbe,41,GE90,
400805,ARIZONA,Choice Academies  Inc.,1,PS,
400807,ARIZONA,Daisy Education Corporation dba. Sonoran Science Academy Dav,19,LE20,
400811,ARIZONA,Ombudsman Educational Services Ltd. a subsidiary of Educ 2,184,15-19,
400813,ARIZONA,Camp Verde Unified School District dba South Verde Technolog,34,50-59,
400814,ARIZONA,CPLC Community Schools dba Hiaki High School,17,40-59,
400816,ARIZONA,Educational Options Foundation,430,78,
400818,ARIZONA,BASIS School Inc. 3,40,GE90,
400819,ARIZONA,Anthem Preparatory Academy,31,GE90,
400820,ARIZONA,Compass Points International  Inc,34,70-79,
400821,ARIZONA,Pima Prevention Partnership,86,50-54,
400823,ARIZONA,Kaizen Education Foundation dba Mission Heights Preparatory,90,75-79,
400827,ARIZONA,Ahwatukee Foothills Prep Early College High School  Inc.,5,PS,
400828,ARIZONA,Arizona Agribusiness & Equine Center Inc. 4,85,GE95,
400829,ARIZONA,BASIS School Inc. 4,29,GE80,
400830,ARIZONA,BASIS School Inc. 5,50,GE90,
400831,ARIZONA,BASIS School Inc. 6,36,GE90,
400838,ARIZONA,Arizona Agribusiness & Equine Center Inc. 5,46,80-89,
400839,ARIZONA,Pima Rose Academy  Inc.,162,55-59,
400843,ARIZONA,BASIS School Inc. 7,24,GE80,
400845,ARIZONA,LEAD Charter Schools dba Leading Edge Academy Queen Creek,4,PS,
400858,ARIZONA,ASU Preparatory Academy 2,93,90-94,
400859,ARIZONA,ASU Preparatory Academy 3,42,GE90,
400862,ARIZONA,Collaborative Pathways  Inc.,24,GE80,
400872,ARIZONA,Institute for Transformative Education  Inc.,22,GE80,
400878,ARIZONA,BASIS School Inc. 8,55,GE90,
400880,ARIZONA,Southwest Leadership Academy,128,LE5,
400897,ARIZONA,BASIS School Inc. 9,7,GE50,
400898,ARIZONA,BASIS School Inc. 10,8,LT50,
400904,ARIZONA,Edkey  Inc. - Sequoia Pathway Academy,60,GE90,
400910,ARIZONA,Ash Fork Joint Unified District,22,LE20,
400911,ARIZONA,Heritage Academy Queen Creek  Inc.,8,GE50,
400926,ARIZONA,Heritage Academy Laveen  Inc.,14,GE50,
400931,ARIZONA,ECA - Arizona  Inc.,6,LT50,
401000,ARIZONA,Bagdad Unified District,21,GE80,
401080,ARIZONA,Beaver Creek Elementary District,21,GE80,
401160,ARIZONA,Bicentennial Union High School District,21,GE80,
401180,ARIZONA,Bisbee Unified District,88,80-84,
401230,ARIZONA,Blue Elementary District,2,PS,
401330,ARIZONA,Bowie Unified District,6,GE50,
401410,ARIZONA,Buckeye Union High School District,865,90,
401460,ARIZONA,Sierra Vista Unified District,487,88,
401600,ARIZONA,Camp Verde Unified District,96,90-94,
401650,ARIZONA,Canon Elementary District,9,GE50,
401740,ARIZONA,Casa Grande Union High School District,867,77,
401760,ARIZONA,Catalina Foothills Unified District,371,94,
401810,ARIZONA,Cedar Unified District,1,PS,
401870,ARIZONA,Chandler Unified District #80,3208,94,
401920,ARIZONA,Chevelon Butte School District,4,PS,
401940,ARIZONA,Chinle Unified District,272,67,
402190,ARIZONA,Concho Elementary District,20,21-39,
402220,ARIZONA,Congress Elementary District,7,GE50,
402250,ARIZONA,Continental Elementary District,48,GE90,
402320,ARIZONA,Coolidge Unified District,352,79,
402480,ARIZONA,Graham County Special Services,3,PS,
402490,ARIZONA,Double Adobe Elementary District,1,PS,
402530,ARIZONA,Douglas Unified District,286,84,
402600,ARIZONA,Duncan Unified District,22,GE80,
402690,ARIZONA,Dysart Unified District,1764,91,
402740,ARIZONA,Mary C O'Brien Accommodation District,42,20-29,
402820,ARIZONA,Empire Elementary District,1,PS,
402860,ARIZONA,Flagstaff Unified District,696,87,
402920,ARIZONA,Florence Unified School District,643,85,
403010,ARIZONA,Flowing Wells Unified District,415,91,
403040,ARIZONA,Fountain Hills Unified District,143,90-94,
403080,ARIZONA,Fredonia-Moccasin Unified District,16,LE20,
403200,ARIZONA,Fort Thomas Unified District,37,70-79,
403290,ARIZONA,Ganado Unified School District,139,75-79,
403310,ARIZONA,Gila Bend Unified District,40,70-79,
403400,ARIZONA,Gilbert Unified District,3043,93,
403450,ARIZONA,Glendale Union High School District,3185,91,
403500,ARIZONA,Globe Unified District,139,85-89,
403550,ARIZONA,Grand Canyon Unified District,19,GE80,
403660,ARIZONA,Hackberry School District,4,PS,
403730,ARIZONA,Hayden-Winkelman Unified District,16,GE80,
403780,ARIZONA,Higley Unified School District,764,91,
403820,ARIZONA,Holbrook Unified District,175,90-94,
403860,ARIZONA,Maricopa County Regional District,324,LE1,
403870,ARIZONA,Humboldt Unified District,376,95,
403950,ARIZONA,Baboquivari Unified School District #40,73,70-74,
403990,ARIZONA,J O Combs Unified School District,251,88,
404010,ARIZONA,Joseph City Unified District,25,GE80,
404060,ARIZONA,Kayenta Unified District,152,80-84,
404170,ARIZONA,Kirkland Elementary District,5,PS,
404280,ARIZONA,Lake Havasu Unified District,461,88,
404410,ARIZONA,Littlefield Unified District,38,70-79,
404530,ARIZONA,Maine Consolidated School District,7,GE50,
404570,ARIZONA,Mammoth-San Manuel Unified District,68,90-94,
404630,ARIZONA,Marana Unified District,898,89,
404720,ARIZONA,Maricopa Unified School District,431,73,
404770,ARIZONA,Altar Valley Elementary District,56,80-89,
404820,ARIZONA,Mayer Unified School District,49,GE90,
404860,ARIZONA,Mcnary Elementary District,4,PS,
404920,ARIZONA,McNeal Elementary District,4,PS,
404970,ARIZONA,Mesa Unified District,4335,79,
405030,ARIZONA,Miami Unified District,76,85-89,
405070,ARIZONA,Mingus Union High School District,349,81,
405320,ARIZONA,Morenci Unified District,93,90-94,
405340,ARIZONA,Morristown Elementary District,9,GE50,
405360,ARIZONA,Pima Accommodation District,112,LE5,
405430,ARIZONA,Naco Elementary District,21,GE80,
405460,ARIZONA,Nadaburg Unified School District,83,80-84,
405500,ARIZONA,Navajo County Accommodation District #99,5,PS,
405530,ARIZONA,Nogales Unified District,401,91,
405640,ARIZONA,Oracle Elementary District,29,GE80,
405760,ARIZONA,Tonto Basin Elementary District,1,PS,
405820,ARIZONA,Page Unified District,189,70-74,
405880,ARIZONA,Palominas Elementary District,69,85-89,
405930,ARIZONA,Paradise Valley Unified District,2426,88,
405980,ARIZONA,Parker Unified School District,161,80-84,
406030,ARIZONA,Patagonia Union High School District,17,GE80,
406070,ARIZONA,Payson Unified District,207,85,
406120,ARIZONA,Peach Springs Unified District,7,GE50,
406250,ARIZONA,Peoria Unified School District,2908,94,
406330,ARIZONA,Phoenix Union High School District,5656,84,
406440,ARIZONA,Pima Unified District,58,80-89,
406510,ARIZONA,Pine Strawberry Elementary District,9,GE50,
406580,ARIZONA,Blue Ridge Unified School District No. 32,185,80-84,
406630,ARIZONA,Pomerene Elementary District,10,GE50,
406730,ARIZONA,Prescott Unified District,399,79,
406740,ARIZONA,Sanders Unified District,56,80-89,
406810,ARIZONA,Queen Creek Unified District,438,93,
406850,ARIZONA,Ray Unified District,35,80-89,
406870,ARIZONA,Red Mesa Unified District,68,75-79,
406960,ARIZONA,San Carlos Unified District,98,70-74,
407130,ARIZONA,Round Valley Unified District,86,75-79,
407170,ARIZONA,Saddle Mountain Unified School District,91,80-84,
407240,ARIZONA,Safford Unified District,249,80,
407300,ARIZONA,Sahuarita Unified District,482,89,
407430,ARIZONA,San Simon Unified District,12,GE50,
