,State,Year,Total Revenues,Total Expenditures,Enrollment,Average Math Score (4th Grade),Average Math Score (8th Grade),Average Reading Score (4th Grade),Average Reading Score (8th Grade),Average Revenue per Student,Average Spend per Student
662,Mississippi,2003,3260771.0,3205193.0,491623.0,222.890600506289,260.911933580199,205.46440681013001,255.010828024612,6632.665680816398,6519.615640439931
664,Mississippi,2005,3639643.0,3610904.0,494382.0,226.698844722803,262.456242710419,204.39360704930303,250.530668896407,7362.005493727523,7303.874331994288
666,Mississippi,2007,4220926.0,4158733.0,494135.0,227.612377077088,264.890918700127,207.809518812675,250.063570104392,8542.050249425765,8416.187883877887
668,Mississippi,2009,4392101.0,4552756.0,491194.0,227.262260849183,265.001958154729,210.50651753667802,251.305654614612,8941.682919579636,9268.753282816971
670,Mississippi,2011,4516742.0,4345783.0,490526.0,229.868022217831,269.235645624753,209.18802012976502,253.83344043271302,9207.95635705345,8859.434566159593
672,Mississippi,2013,4444064.0,4370050.0,492847.0,231.105721411129,271.160967287249,208.518536453726,253.14781817765495,9017.127019135756,8866.950595215147
674,Mississippi,2015,4592343.0,4624539.0,490189.0,234.243053139768,270.580479347121,214.110686915211,251.97616520927798,9368.51500135662,9434.195789787205
688,Missouri,2003,7622601.0,7905481.0,921625.0,234.836425354607,278.766250348876,222.260230125215,267.363673296442,8270.82707174827,8577.763190017633
690,Missouri,2005,8340865.0,8170965.0,902659.0,235.035547623939,276.44993926095003,221.16862279503,264.659368767086,9240.327742813177,9052.106055553648
692,Missouri,2007,8908844.0,9245525.0,910142.0,239.411102894897,280.619538285703,220.776827870135,263.442315999206,9788.411039156526,10158.332436037454
694,Missouri,2009,9472520.0,10227305.0,893807.0,240.684380944942,285.808001946777,223.84235777869597,266.876460156868,10597.947879128269,11442.408707920165
696,Missouri,2011,9915356.0,9842505.0,896702.0,240.494831043156,281.947646246654,220.346171042259,266.76205134969103,11057.582117581984,10976.338850588045
698,Missouri,2013,10103589.0,10001763.0,897224.0,239.548361930055,282.988457911702,222.33418590941602,267.215011778953,11260.943755405562,11147.453701639724
700,Missouri,2015,10623391.0,10540353.0,892779.0,238.964922500718,280.821425670635,222.72551679114,266.876351831946,11899.239341427161,11806.22864113067
714,Montana,2003,1205602.0,1214879.0,149801.0,235.75491526568905,285.928022552419,222.74654162772703,269.833415980195,8048.023711457199,8109.952537032463
716,Montana,2005,1293070.0,1268328.0,146552.0,240.575488552507,286.432001216413,224.552179792932,269.224129746888,8823.28456793493,8654.457121021891
718,Montana,2007,1474306.0,1442434.0,144258.0,243.618811261651,287.07552895369497,226.66653258748403,270.937849960978,10219.92541141566,9998.987924413203
720,Montana,2009,1607935.0,1622485.0,141782.0,244.400751913997,291.542942879491,224.651750127955,270.393925995333,11340.896587719173,11443.518923417641
