STNAM,FIPST,LEAID,LEANM,ALL_COHORT_1516,ALL_RATE_1516,MAM_COHORT_1516,MAM_RATE_1516,MAS_COHORT_1516,MAS_RATE_1516,MBL_COHORT_1516,MBL_RATE_1516,MHI_COHORT_1516,MHI_RATE_1516,MTR_COHORT_1516,MTR_RATE_1516,MWH_COHORT_1516,MWH_RATE_1516,CWD_COHORT_1516,CWD_RATE_1516,ECD_COHORT_1516,ECD_RATE_1516,LEP_COHORT_1516,LEP_RATE_1516,DATE_CUR
ALABAMA,1,100005,Albertville City,296,92,2,PS,1,PS,9,GE50,91,GE95,,,193,90-94,18,60-79,108,80-84,9,GE50,1-Jul-17
ALABAMA,1,100006,Marshall County,434,88,4,PS,1,PS,4,PS,56,GE90,1,PS,368,86,51,50-59,274,80-84,3,PS,1-Jul-17
ALABAMA,1,100007,Hoover City,1127,93,,,65,90-94,314,88,54,80-89,16,GE80,678,96,82,60-64,223,80-84,8,GE50,1-Jul-17
ALABAMA,1,100008,Madison City,855,97,3,PS,63,GE95,203,GE95,32,GE90,20,GE80,534,98,47,70-79,162,90-94,7,GE50,1-Jul-17
ALABAMA,1,100011,Leeds City,123,92,,,1,PS,38,GE90,14,GE50,4,PS,66,GE95,16,60-79,60,80-89,1,PS,1-Jul-17
ALABAMA,1,100012,Boaz City,151,82,,,2,PS,,,20,60-79,5,PS,124,85-89,14,GE50,77,70-74,7,GE50,1-Jul-17
ALABAMA,1,100013,Trussville City,381,96,1,PS,9,GE50,52,GE90,6,GE50,1,PS,312,95,26,60-79,45,GE90,4,PS,1-Jul-17
ALABAMA,1,100030,Alexander City,269,92,,,2,PS,106,85-89,3,PS,1,PS,157,90-94,45,70-79,140,80-84,1,PS,1-Jul-17
ALABAMA,1,100060,Andalusia City,99,92,,,2,PS,39,80-89,2,PS,2,PS,54,GE90,10,GE50,46,80-89,,,1-Jul-17
ALABAMA,1,100090,Anniston City,154,77,,,,,143,75-79,4,PS,,,7,GE50,17,21-39,99,70-74,,,1-Jul-17
ALABAMA,1,100100,Arab City,199,92,1,PS,1,PS,1,PS,4,PS,,,192,90-94,20,60-79,66,80-84,,,1-Jul-17
ALABAMA,1,100120,Athens City,287,90,1,PS,5,PS,83,80-84,24,GE80,1,PS,173,90-94,21,40-59,114,80-84,2,PS,1-Jul-17
ALABAMA,1,100180,Attalla City,207,83,,,,,32,80-89,17,GE80,8,GE50,150,80-84,29,40-59,140,80-84,2,PS,1-Jul-17
ALABAMA,1,100185,Saraland City,243,92,2,PS,1,PS,36,GE90,2,PS,,,202,90-94,23,60-79,111,90-94,1,PS,1-Jul-17
ALABAMA,1,100188,Chickasaw City,53,74.5,,,,,40,80-89,1,PS,,,12,GE50,10,GE50,36,70-79,,,1-Jul-17
ALABAMA,1,100189,Satsuma City,103,87,1,PS,,,12,GE50,,,,,90,90-94,9,GE50,40,80-89,,,1-Jul-17
ALABAMA,1,100190,Alabaster City,435,97,1,PS,2,PS,93,GE95,56,GE90,,,283,GE95,37,80-89,134,GE95,8,GE50,1-Jul-17
ALABAMA,1,100194,Pelham City,220,95,,,6,GE50,35,GE90,50,GE90,,,129,GE95,10,LT50,61,90-94,3,PS,1-Jul-17
ALABAMA,1,100210,Auburn City,574,88,1,PS,54,80-89,167,80-84,19,GE80,3,PS,330,93,53,50-59,140,80-84,8,GE50,1-Jul-17
ALABAMA,1,100240,Autauga County,742,86,4,PS,9,GE50,193,80-84,11,GE50,7,GE50,518,87,69,30-34,274,70-74,3,PS,1-Jul-17
ALABAMA,1,100270,Baldwin County,2383,84,22,60-79,24,GE80,364,84,106,70-74,23,GE80,1844,84,309,53,961,75,22,40-59,1-Jul-17
ALABAMA,1,100300,Barbour County,66,87,,,,,62,85-89,1,PS,,,3,PS,12,LT50,43,80-89,,,1-Jul-17
ALABAMA,1,100330,Bessemer City,333,79,,,,,310,80,19,60-79,,,4,PS,53,50-59,188,70-74,3,PS,1-Jul-17
ALABAMA,1,100360,Bibb County,250,85,,,,,61,75-79,3,PS,,,186,85-89,28,40-59,136,75-79,1,PS,1-Jul-17
ALABAMA,1,100390,Birmingham City,1910,77,9,GE50,3,PS,1817,78,47,50-59,12,GE50,22,40-59,298,40-44,1048,74,16,40-59,1-Jul-17
ALABAMA,1,100420,Blount County,604,92,1,PS,1,PS,5,PS,66,GE95,4,PS,527,92,41,70-79,271,85-89,3,PS,1-Jul-17
ALABAMA,1,100450,Brewton City,87,92,,,1,PS,30,GE80,1,PS,,,55,GE90,2,PS,29,60-79,1,PS,1-Jul-17
ALABAMA,1,100480,Bullock County,125,87,,,,,116,85-89,9,GE50,,,,,18,60-79,116,85-89,4,PS,1-Jul-17
ALABAMA,1,100510,Butler County,263,78,,,2,PS,174,75-79,2,PS,1,PS,84,75-79,43,50-59,199,75-79,2,PS,1-Jul-17
ALABAMA,1,100540,Calhoun County,744,90,2,PS,6,GE50,117,90-94,12,GE50,4,PS,603,90,91,75-79,409,84,3,PS,1-Jul-17
ALABAMA,1,100600,Chambers County,275,80,,,1,PS,134,85-89,3,PS,6,GE50,131,75-79,36,40-49,168,75-79,1,PS,1-Jul-17
ALABAMA,1,100630,Cherokee County,307,93,24,GE80,,,19,GE80,2,PS,,,262,90-94,29,60-79,181,85-89,,,1-Jul-17
ALABAMA,1,100660,Chilton County,572,84,,,4,PS,67,75-79,47,GE90,5,PS,449,84,60,40-49,310,77,5,PS,1-Jul-17
ALABAMA,1,100690,Choctaw County,134,77,,,,,79,80-84,2,PS,,,53,60-69,15,LT50,64,60-64,,,1-Jul-17
ALABAMA,1,100720,Clarke County,259,85,1,PS,1,PS,180,85-89,3,PS,,,74,70-74,20,21-39,121,75-79,1,PS,1-Jul-17
ALABAMA,1,100750,Clay County,174,87,,,2,PS,32,GE90,3,PS,1,PS,136,85-89,19,40-59,97,80-84,,,1-Jul-17
ALABAMA,1,100780,Cleburne County,168,97.5,,,,,4,PS,3,PS,2,PS,159,90-94,19,60-79,74,90-94,,,1-Jul-17
ALABAMA,1,100810,Coffee County,159,92,5,PS,,,12,GE50,,,,,142,90-94,12,GE50,71,85-89,,,1-Jul-17
ALABAMA,1,100840,Colbert County,211,82,1,PS,,,31,80-89,5,PS,,,174,80-84,37,60-69,140,80-84,1,PS,1-Jul-17
ALABAMA,1,100870,Conecuh County,96,77,,,,,92,75-79,,,,,4,PS,10,LT50,77,70-74,,,1-Jul-17
ALABAMA,1,100900,Coosa County,94,82,,,,,40,80-89,2,PS,2,PS,50,80-89,12,LT50,56,70-79,,,1-Jul-17
ALABAMA,1,100930,Covington County,228,93,,,1,PS,20,GE80,1,PS,1,PS,205,90-94,27,GE80,190,90-94,,,1-Jul-17
ALABAMA,1,100960,Crenshaw County,161,92,,,1,PS,70,90-94,,,2,PS,88,85-89,27,GE80,115,90-94,,,1-Jul-17
ALABAMA,1,100990,Cullman City,230,93,,,1,PS,5,PS,16,60-79,2,PS,206,GE95,17,40-59,54,80-89,1,PS,1-Jul-17
ALABAMA,1,101020,Cullman County,689,85,2,PS,,,12,GE50,53,80-89,30,GE80,592,85,96,45-49,344,80,3,PS,1-Jul-17
ALABAMA,1,101050,Dale County,194,87,1,PS,1,PS,40,GE90,6,GE50,1,PS,145,85-89,14,LT50,103,80-84,1,PS,1-Jul-17
ALABAMA,1,101080,Daleville City,83,87,,,1,PS,29,GE80,14,GE50,2,PS,37,70-79,12,GE50,42,70-79,4,PS,1-Jul-17
ALABAMA,1,101110,Dallas County,332,89,,,,,258,90-94,2,PS,,,72,80-84,53,60-69,191,85-89,,,1-Jul-17
ALABAMA,1,101140,Dekalb County,642,88,84,90-94,,,10,GE50,143,85-89,2,PS,403,88,72,55-59,330,83,19,60-79,1-Jul-17
ALABAMA,1,101170,Decatur City,652,87,1,PS,10,GE50,233,80-84,120,85-89,4,PS,284,90-94,101,50-54,366,82,21,40-59,1-Jul-17
ALABAMA,1,101200,Demopolis City,169,92,,,1,PS,93,GE95,4,PS,,,71,85-89,10,GE50,96,90-94,2,PS,1-Jul-17
ALABAMA,1,101230,Dothan City,647,89,,,7,GE50,354,88,23,GE80,5,PS,258,90-94,78,55-59,384,87,6,GE50,1-Jul-17
ALABAMA,1,101260,Elba City,68,97.5,1,PS,,,28,GE80,3,PS,,,36,GE90,8,GE50,24,GE80,1,PS,1-Jul-17
ALABAMA,1,101290,Elmore County,792,86,4,PS,11,GE50,234,85-89,20,60-79,15,GE50,508,87,103,40-44,398,79,5,PS,1-Jul-17
ALABAMA,1,101320,Enterprise City,524,95,1,PS,7,GE50,106,90-94,40,GE90,14,GE50,356,95,43,60-69,183,85-89,,,1-Jul-17
ALABAMA,1,101350,Escambia County,318,82,12,GE50,,,141,80-84,3,PS,1,PS,161,80-84,25,40-59,223,75-79,,,1-Jul-17
ALABAMA,1,101380,Etowah County,651,91,2,PS,8,GE50,15,GE50,6,GE50,2,PS,618,91,76,80-84,285,85-89,4,PS,1-Jul-17
ALABAMA,1,101410,Eufaula City,205,84,,,2,PS,113,85-89,6,GE50,,,84,85-89,28,21-39,127,80-84,2,PS,1-Jul-17
ALABAMA,1,101440,Fairfield City,167,82,,,,,164,85-89,1,PS,,,2,PS,22,40-59,136,85-89,,,1-Jul-17
ALABAMA,1,101470,Fayette County,177,87,,,,,29,GE80,1,PS,,,147,85-89,21,40-59,100,80-84,1,PS,1-Jul-17
ALABAMA,1,101530,Florence City,356,93,,,4,PS,104,90-94,21,GE80,6,GE50,221,90-94,36,40-49,152,85-89,2,PS,1-Jul-17
ALABAMA,1,101560,Fort Payne City,205,98,1,PS,1,PS,13,GE50,54,GE90,3,PS,133,GE95,12,GE50,125,GE95,5,PS,1-Jul-17
ALABAMA,1,101590,Franklin County,225,88,1,PS,,,1,PS,17,GE80,,,206,85-89,33,80-89,82,70-74,6,GE50,1-Jul-17
ALABAMA,1,101620,Gadsden City,427,79,2,PS,8,GE50,220,80-84,34,70-79,5,PS,158,70-74,53,30-39,265,75-79,5,PS,1-Jul-17
ALABAMA,1,101640,Geneva City,77,92,1,PS,,,7,GE50,,,1,PS,68,90-94,7,LT50,44,80-89,,,1-Jul-17
ALABAMA,1,101660,Geneva County,233,88,,,,,33,GE90,11,GE50,,,189,85-89,36,50-59,133,80-84,1,PS,1-Jul-17
ALABAMA,1,101680,Greene County,99,82,,,1,PS,97,80-84,1,PS,,,,,14,GE50,81,80-84,,,1-Jul-17
ALABAMA,1,101690,Guntersville City,134,92,,,7,GE50,17,GE80,9,GE50,6,GE50,95,90-94,4,PS,54,80-89,3,PS,1-Jul-17
ALABAMA,1,101710,Hale County,234,88,1,PS,,,161,85-89,3,PS,2,PS,67,85-89,16,21-39,225,90-94,1,PS,1-Jul-17
ALABAMA,1,101720,Haleyville City,127,87,1,PS,,,1,PS,10,GE50,,,115,90-94,9,LT50,66,80-84,1,PS,1-Jul-17
ALABAMA,1,101730,Hartselle City,209,93,2,PS,2,PS,11,GE50,6,GE50,,,188,90-94,12,GE50,46,80-89,1,PS,1-Jul-17
ALABAMA,1,101740,Henry County,216,93,,,1,PS,69,90-94,3,PS,2,PS,141,90-94,25,GE80,117,90-94,1,PS,1-Jul-17
ALABAMA,1,101760,Homewood City,230,93,,,11,GE50,62,90-94,14,GE50,2,PS,141,GE95,15,LT50,59,GE90,2,PS,1-Jul-17
ALABAMA,1,101770,Houston County,467,90,3,PS,,,79,85-89,13,GE50,2,PS,370,90,51,60-69,258,85-89,,,1-Jul-17
ALABAMA,1,101800,Huntsville City,1730,88,7,GE50,41,GE90,701,86,123,85-89,83,90-94,775,90,158,50-54,587,80,16,GE80,1-Jul-17
ALABAMA,1,101830,Jackson County,453,88,60,GE90,1,PS,13,GE50,15,GE50,3,PS,361,88,36,30-39,258,85-89,,,1-Jul-17
ALABAMA,1,101860,Jacksonville City,111,92,1,PS,4,PS,37,80-89,1,PS,1,PS,67,90-94,14,GE50,48,70-79,,,1-Jul-17
ALABAMA,1,101890,Jasper City,210,91,,,1,PS,38,80-89,9,GE50,6,GE50,156,90-94,20,21-39,85,80-84,,,1-Jul-17
ALABAMA,1,101920,Jefferson County,2987,88,5,PS,23,GE80,1410,87,160,85-89,5,PS,1384,89,432,59,1488,83,41,70-79,1-Jul-17
ALABAMA,1,101950,Lamar County,163,82,,,1,PS,26,GE80,5,PS,1,PS,130,80-84,14,GE50,90,75-79,,,1-Jul-17
ALABAMA,1,101980,Lanett City,61,72,,,,,54,70-79,,,,,7,LT50,12,LT50,50,70-79,,,1-Jul-17
ALABAMA,1,102010,Lauderdale County,660,92,3,PS,1,PS,19,GE80,2,PS,5,PS,630,92,63,60-64,289,85-89,,,1-Jul-17
ALABAMA,1,102040,Lawrence County,327,87,81,90-94,1,PS,31,80-89,7,GE50,,,207,85-89,33,50-59,182,80-84,1,PS,1-Jul-17
ALABAMA,1,102070,Lee County,805,83,6,GE50,5,PS,197,85-89,21,GE80,7,GE50,569,81,69,50-54,354,75,,,1-Jul-17
ALABAMA,1,102100,Limestone County,682,91,6,GE50,6,GE50,60,GE90,48,80-89,6,GE50,556,91,73,65-69,276,80-84,4,PS,1-Jul-17
ALABAMA,1,102130,Linden City,44,84.5,,,,,43,80-89,,,,,1,PS,3,PS,32,80-89,,,1-Jul-17
ALABAMA,1,102160,Lowndes County,131,87,,,,,131,85-89,,,,,,,12,GE50,80,85-89,,,1-Jul-17
ALABAMA,1,102190,Macon County,210,86,,,,,207,85-89,,,,,3,PS,24,40-59,118,80-84,,,1-Jul-17
ALABAMA,1,102220,Madison County,1571,90,107,90-94,27,GE80,367,88,40,70-79,16,GE80,1014,91,156,50-54,486,80,8,LT50,1-Jul-17
ALABAMA,1,102250,Marengo County,76,92,,,,,51,80-89,,,,,25,GE80,6,GE50,57,80-89,,,1-Jul-17
ALABAMA,1,102310,Marion County,253,85,,,1,PS,13,GE50,8,GE50,5,PS,226,85-89,28,40-59,144,75-79,1,PS,1-Jul-17
ALABAMA,1,102350,Midfield City,102,87,,,1,PS,99,85-89,,,,,2,PS,11,GE50,59,80-89,1,PS,1-Jul-17
ALABAMA,1,102370,Mobile County,4520,81,60,80-89,105,90-94,2343,81,123,85-89,60,GE90,1829,80,572,37,2003,73,33,70-79,1-Jul-17
ALABAMA,1,102400,Monroe County,316,86,2,PS,1,PS,163,90-94,3,PS,4,PS,143,80-84,21,40-59,193,80-84,,,1-Jul-17
ALABAMA,1,102430,Montgomery County,2215,78,4,PS,64,90-94,1853,78,73,60-64,14,GE50,207,80-84,266,50-54,1102,68,28,21-39,1-Jul-17
ALABAMA,1,102480,Morgan County,624,91,12,GE50,,,25,GE80,26,GE80,1,PS,560,91,69,60-64,254,80-84,4,PS,1-Jul-17
ALABAMA,1,102490,Mountain Brook City,334,98,1,PS,5,PS,1,PS,6,GE50,5,PS,316,98,21,60-79,,,,,1-Jul-17
ALABAMA,1,102520,Muscle Shoals City,214,97,,,6,GE50,45,GE90,9,GE50,,,154,GE95,11,GE50,57,GE90,,,1-Jul-17
ALABAMA,1,102550,Oneonta City,95,97.5,,,1,PS,3,PS,22,GE80,2,PS,67,GE95,3,PS,38,80-89,,,1-Jul-17
ALABAMA,1,102580,Opelika City,303,89,,,8,GE50,182,85-89,12,GE50,,,101,90-94,24,40-59,187,80-84,1,PS,1-Jul-17
ALABAMA,1,102610,Opp City,75,92,,,1,PS,20,GE80,1,PS,1,PS,52,GE90,9,GE50,41,GE90,,,1-Jul-17
ALABAMA,1,102635,Oxford City,276,96,,,5,PS,78,GE95,26,GE80,1,PS,166,GE95,31,70-79,138,GE95,3,PS,1-Jul-17
ALABAMA,1,102640,Ozark City,193,87,1,PS,,,91,85-89,2,PS,2,PS,97,85-89,18,40-59,116,80-84,,,1-Jul-17
ALABAMA,1,102650,Pell City,290,87,,,,,32,GE90,8,GE50,2,PS,248,85-89,34,40-49,124,75-79,2,PS,1-Jul-17
ALABAMA,1,102670,Perry County,121,92,,,,,121,90-94,,,,,,,13,GE50,85,90-94,,,1-Jul-17
ALABAMA,1,102700,Phenix City,444,85,1,PS,2,PS,302,86,20,GE80,9,GE50,110,80-84,38,20-29,297,85-89,1,PS,1-Jul-17
ALABAMA,1,102730,Pickens County,201,91,,,1,PS,120,90-94,3,PS,2,PS,75,80-84,23,60-79,121,85-89,,,1-Jul-17
ALABAMA,1,102760,Piedmont City,75,97.5,,,,,14,GE50,2,PS,,,59,GE90,7,GE50,39,GE90,,,1-Jul-17
ALABAMA,1,102790,Pike County,189,82,1,PS,,,96,85-89,2,PS,1,PS,89,80-84,17,60-79,140,80-84,,,1-Jul-17
ALABAMA,1,102820,Randolph County,182,87,,,,,27,GE80,8,GE50,2,PS,145,85-89,27,60-79,106,80-84,1,PS,1-Jul-17
ALABAMA,1,102850,Roanoke City,101,97.5,,,3,PS,43,GE90,,,,,55,GE90,8,GE50,66,90-94,1,PS,1-Jul-17
ALABAMA,1,102880,Russell County,276,74,1,PS,9,GE50,132,80-84,9,GE50,7,GE50,118,60-64,35,20-29,177,65-69,1,PS,1-Jul-17
ALABAMA,1,102910,Russellville City,178,92,,,,,18,GE80,54,GE90,1,PS,105,90-94,7,LT50,52,80-89,3,PS,1-Jul-17
ALABAMA,1,102940,Scottsboro City,184,87,1,PS,1,PS,15,GE50,8,GE50,,,159,85-89,21,21-39,79,80-84,,,1-Jul-17
ALABAMA,1,102970,Selma City,263,82,,,2,PS,261,80-84,,,,,,,34,40-49,175,75-79,,,1-Jul-17
ALABAMA,1,103000,Sheffield City,83,82,,,,,40,80-89,3,PS,3,PS,37,70-79,13,GE50,41,70-79,1,PS,1-Jul-17
ALABAMA,1,103030,Shelby County,1466,93,5,PS,31,GE90,226,90-94,68,85-89,17,GE80,1119,94,107,55-59,385,85,13,LT50,1-Jul-17
ALABAMA,1,103062,St Clair County,650,87,4,PS,3,PS,70,85-89,15,GE50,8,GE50,550,87,70,40-44,289,80-84,1,PS,1-Jul-17
ALABAMA,1,103090,Sumter County,137,77,,,,,137,75-79,,,,,,,18,40-59,84,70-74,1,PS,1-Jul-17
ALABAMA,1,103120,Sylacauga City,183,92,,,1,PS,68,GE95,4,PS,2,PS,108,90-94,14,GE50,87,85-89,,,1-Jul-17
ALABAMA,1,103150,Talladega City,142,92,,,,,93,GE95,1,PS,,,48,80-89,18,GE80,111,90-94,,,1-Jul-17
ALABAMA,1,103180,Talladega County,544,92,,,1,PS,229,90-94,6,GE50,2,PS,306,91,56,60-69,364,90,,,1-Jul-17
ALABAMA,1,103210,Tallapoosa County,249,88,,,,,82,90-94,3,PS,,,164,85-89,46,70-79,166,85-89,,,1-Jul-17
ALABAMA,1,103240,Tallassee City,132,87,,,2,PS,43,80-89,1,PS,,,86,90-94,14,LT50,65,80-84,,,1-Jul-17
ALABAMA,1,103270,Tarrant City,73,82,,,1,PS,59,80-89,11,GE50,,,2,PS,10,GE50,42,80-89,3,PS,1-Jul-17
ALABAMA,1,103300,Thomasville City,132,97.5,,,2,PS,48,GE90,1,PS,,,81,90-94,8,GE50,82,90-94,1,PS,1-Jul-17
ALABAMA,1,103330,Troy City,153,92,,,2,PS,89,90-94,2,PS,,,60,GE90,13,GE50,144,90-94,,,1-Jul-17
ALABAMA,1,103360,Tuscaloosa City,751,87,,,9,GE50,581,86,18,GE80,1,PS,142,90-94,107,60-64,410,85,6,GE50,1-Jul-17
ALABAMA,1,103390,Tuscaloosa County,1300,84,6,GE50,15,GE50,380,81,45,80-89,5,PS,849,86,165,55-59,556,78,8,GE50,1-Jul-17
ALABAMA,1,103420,Tuscumbia City,130,77,,,,,27,GE80,1,PS,1,PS,101,80-84,12,LT50,72,70-74,,,1-Jul-17
ALABAMA,1,103430,Vestavia Hills City,468,95,1,PS,21,GE80,40,80-89,15,GE50,9,GE50,382,96,33,70-79,42,80-89,1,PS,1-Jul-17
ALABAMA,1,103450,Walker County,621,90,2,PS,,,34,GE90,4,PS,2,PS,579,90,88,65-69,374,86,,,1-Jul-17
ALABAMA,1,103480,Washington County,247,83,19,GE80,,,80,80-84,2,PS,,,146,80-84,28,60-79,125,75-79,,,1-Jul-17
ALABAMA,1,103510,Wilcox County,112,87,,,,,112,85-89,,,,,,,10,GE50,72,80-84,,,1-Jul-17
ALABAMA,1,103540,Winfield City,83,97.5,,,,,3,PS,,,1,PS,79,GE95,3,PS,26,GE80,,,1-Jul-17
ALABAMA,1,103580,Winston County,206,84,,,2,PS,,,6,GE50,,,198,80-84,30,40-59,108,75-79,,,1-Jul-17
ALASKA,2,200001,Lower Kuskokwim School District,278,52,255,50-54,,,1,PS,2,PS,1,PS,19,40-59,31,20-29,214,50-54,116,30-34,1-Jul-17
ALASKA,2,200003,Lower Yukon School District,138,57,137,55-59,,,,,,,,,1,PS,23,40-59,110,55-59,107,50-54,1-Jul-17
ALASKA,2,200004,Yupiit School District,36,54.5,34,50-59,,,,,,,,,2,PS,2,PS,36,50-59,26,40-59,1-Jul-17
ALASKA,2,200005,Kashunamiut School District,20,69.5,20,60-79,,,,,,,,,,,3,PS,14,GE50,6,GE50,1-Jul-17
ALASKA,2,200006,Mount Edgecumbe High School Agency,85,97.5,67,GE95,,,1,PS,,,6,GE50,11,GE50,2,PS,66,GE95,1,PS,1-Jul-17
ALASKA,2,200007,Aleutians East Borough School District,14,75,13,GE50,,,,,,,,,1,PS,1,PS,9,GE50,,,1-Jul-17
ALASKA,2,200020,Bering Strait School District,111,77,110,80-84,,,,,,,,,1,PS,14,GE50,73,70-74,41,60-69,1-Jul-17
ALASKA,2,200030,Bristol Bay Borough School District,14,75,7,GE50,1,PS,,,1,PS,,,5,PS,2,PS,6,GE50,,,1-Jul-17
ALASKA,2,200050,Alaska Gateway School District,30,49.5,14,GE50,,,,,1,PS,,,15,LT50,,,12,GE50,2,PS,1-Jul-17
ALASKA,2,200060,Cordova City School District,39,84.5,4,PS,9,GE50,,,5,PS,3,PS,18,GE80,4,PS,22,GE80,2,PS,1-Jul-17
ALASKA,2,200070,Copper River School District,23,90,8,GE50,1,PS,,,1,PS,1,PS,12,GE50,2,PS,9,GE50,,,1-Jul-17
ALASKA,2,200090,Craig City School District,41,54.5,9,GE50,3,PS,,,,,2,PS,27,60-79,4,PS,7,GE50,,,1-Jul-17
ALASKA,2,200100,Delta-Greely School District,57,84.5,,,2,PS,5,PS,5,PS,2,PS,43,70-79,2,PS,22,60-79,2,PS,1-Jul-17
ALASKA,2,200120,Dillingham City School District,27,49.5,18,40-59,,,,,,,7,GE50,2,PS,9,LT50,24,40-59,3,PS,1-Jul-17
ALASKA,2,200130,Galena City School District,360,77,72,65-69,9,LT50,6,GE50,11,GE50,11,GE50,251,80-84,29,60-79,182,70-74,11,GE50,1-Jul-17
ALASKA,2,200150,Ketchikan Gateway Borough School District,187,77,58,70-79,24,GE80,2,PS,2,PS,5,PS,96,75-79,16,40-59,63,65-69,4,PS,1-Jul-17
ALASKA,2,200180,Anchorage School District,3432,80,310,55,587,82,199,70-74,381,76,392,80,1563,85,419,51,1414,70,241,60-64,1-Jul-17
ALASKA,2,200210,Juneau Borough School District,376,84,69,70-74,45,80-89,7,GE50,26,60-79,23,60-79,206,90-94,50,60-69,90,65-69,20,60-79,1-Jul-17
ALASKA,2,200240,Sitka School District,101,72,19,60-79,15,GE50,4,PS,4,PS,5,PS,54,60-69,8,GE50,32,50-59,4,PS,1-Jul-17
ALASKA,2,200270,Haines Borough School District,25,90,7,GE50,3,PS,,,,,,,15,GE50,3,PS,8,GE50,1,PS,1-Jul-17
ALASKA,2,200300,Hoonah City School District,6,75,5,PS,,,,,,,,,1,PS,1,PS,3,PS,,,1-Jul-17
ALASKA,2,200330,Hydaburg City School District,7,75,6,GE50,,,,,,,1,PS,,,4,PS,5,PS,,,1-Jul-17
ALASKA,2,200360,Kake City School District,11,75,10,GE50,,,,,,,,,1,PS,,,4,PS,,,1-Jul-17
ALASKA,2,200390,Kenai Peninsula Borough School District,689,83,70,75-79,14,GE50,2,PS,33,80-89,43,80-89,527,83,91,55-59,239,70-74,10,GE50,1-Jul-17
ALASKA,2,200450,Klawock City School District,6,75,5,PS,,,,,,,,,1,PS,2,PS,5,PS,,,1-Jul-17
ALASKA,2,200480,Kodiak Island Borough School District,191,92,34,80-89,62,GE95,,,24,GE80,12,GE50,59,GE90,28,GE80,88,90-94,16,GE80,1-Jul-17
ALASKA,2,200485,Lake and Peninsula Borough School District,29,90,25,GE80,,,1,PS,,,,,3,PS,8,GE50,20,GE80,,,1-Jul-17
ALASKA,2,200510,Matanuska-Susitna Borough School District,1327,79,198,70-74,47,80-89,18,60-79,40,80-89,53,70-79,971,81,138,65-69,387,71,15,GE50,1-Jul-17
ALASKA,2,200520,Iditarod Area School District,16,69.5,8,GE50,,,,,1,PS,,,7,GE50,2,PS,6,GE50,,,1-Jul-17
ALASKA,2,200525,Annette Island School District,21,90,20,GE80,,,,,,,,,1,PS,3,PS,17,GE80,,,1-Jul-17
ALASKA,2,200540,Nenana City School District,169,32,35,40-49,12,LT50,5,PS,10,LT50,23,LE20,84,35-39,16,21-39,13,GE50,7,LT50,1-Jul-17
ALASKA,2,200570,Nome Public Schools,48,74.5,25,60-79,,,,,,,11,GE50,12,GE50,5,PS,17,GE80,5,PS,1-Jul-17
ALASKA,2,200600,Fairbanks North Star Borough School District,949,74,96,50-54,34,50-59,52,70-79,79,75-79,114,75-79,574,78,138,45-49,215,50-54,22,21-39,1-Jul-17
ALASKA,2,200610,North Slope Borough School District,113,57,86,50-54,10,GE50,1,PS,2,PS,9,GE50,5,PS,17,21-39,42,50-59,12,LT50,1-Jul-17
ALASKA,2,200625,Northwest Arctic Borough School District,133,72,125,75-79,1,PS,,,,,1,PS,6,GE50,21,40-59,88,75-79,41,60-69,1-Jul-17
ALASKA,2,200660,Petersburg Borough School District,31,95,6,GE50,2,PS,,,2,PS,,,21,GE80,4,PS,12,GE50,,,1-Jul-17
ALASKA,2,200680,Saint Mary's School District,13,75,13,GE50,,,,,,,,,,,,,13,GE50,6,GE50,1-Jul-17
ALASKA,2,200700,Southeast Island School District,19,90,,,,,,,,,,,19,GE80,4,PS,13,GE50,,,1-Jul-17
ALASKA,2,200710,Southwest Region School District,37,44.5,37,40-49,,,,,,,,,,,2,PS,35,50-59,13,GE50,1-Jul-17
ALASKA,2,200720,Unalaska City School District,29,90,5,PS,11,GE50,,,4,PS,,,9,GE50,3,PS,5,PS,1,PS,1-Jul-17
ALASKA,2,200730,Chatham School District,9,75,5,PS,,,,,,,,,4,PS,2,PS,5,PS,,,1-Jul-17
ALASKA,2,200760,Kuspuk School District,22,69.5,21,60-79,,,,,,,,,1,PS,3,PS,20,60-79,7,LT50,1-Jul-17
ALASKA,2,200770,Denali Borough School District,43,44.5,4,PS,,,2,PS,4,PS,5,PS,28,40-59,3,PS,3,PS,,,1-Jul-17
ALASKA,2,200775,Yukon Flats School District,17,49.5,17,40-59,,,,,,,,,,,6,LT50,16,21-39,8,GE50,1-Jul-17
ALASKA,2,200780,Valdez City School District,46,84.5,3,PS,1,PS,,,,,4,PS,38,80-89,4,PS,10,GE50,,,1-Jul-17
ALASKA,2,200800,Chugach School District,24,90,4,PS,2,PS,,,1,PS,,,17,GE80,2,PS,13,GE50,2,PS,1-Jul-17
ALASKA,2,200810,Wrangell Public School District,26,69.5,5,PS,,,1,PS,1,PS,3,PS,16,60-79,2,PS,8,GE50,,,1-Jul-17
ALASKA,2,200862,Yukon-Koyukuk School District,196,47,67,45-49,5,PS,6,GE50,5,PS,6,GE50,107,50-54,28,21-39,120,45-49,9,GE50,1-Jul-17
ARIZONA,4,400001,Cave Creek Unified District,415,93,1,PS,15,GE50,3,PS,35,70-79,,,361,95,49,70-79,35,80-89,2,PS,1-Jul-17
